Last login: Thu Feb  8 11:15:29 on ttys000
Shivams-MacBook-Pro:~ shivamkumar$ ps -ef
  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   456     1   0  1:56PM ??         0:00.59 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
  501   457     1   0  1:56PM ??         0:00.31 /Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
  501   464     1   0  1:56PM ??         0:01.64 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  501   465     1   0  1:56PM ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  501   469     1   0  1:56PM ??         0:13.71 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
  501   470     1   0  1:56PM ??         0:00.25 /System/Library/CoreServices/ScopedBookmarkAgent
  501   471     1   0  1:56PM ??         0:00.52 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
  501   472     1   0  1:56PM ??         0:19.10 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
  235   473     1   0  1:56PM ??         0:00.29 /usr/libexec/AssetCache/AssetCache
    0   474     1   0  1:56PM ??         0:00.27 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  501   475     1   0  1:56PM ??         0:00.73 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
    0   476     1   0  1:56PM ??         0:00.31 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
    0   477     1   0  1:56PM ??         0:00.23 /usr/bin/sysdiagnose
